group,title,reviewers,median,q75,q90
core,Ikenfell,357,498.0,991.0,1990.0
core,Meg's Monster,146,479.0,1197.8,2131.0
core,Small Saga,298,446.0,769.0,1340.7
core,Long Gone Days,133,375.0,638.0,1431.4
positioning,Impostor Factory,337,253.0,575.0,1322.2
positioning,Finding Paradise,316,214.0,476.2,1150.0
positioning,To the Moon,346,170.0,329.8,713.5
core,In Stars And Time,319,131.0,272.5,532.0
benchmark,Baldur's Gate 3,225,122.0,231.0,365.8
benchmark,ELDEN RING,303,83.0,173.0,338.4
positioning,OneShot,305,69.0,123.0,260.6
