cluster_id,reviews,games_present,dominant_game,dominant_game_share,recommend_rate,median_playtime_h
0,82,11,ELDEN RING,0.17073170731707318,0.9390243902439024,7.091666666666667
17,44,11,Small Saga,0.18181818181818182,0.9545454545454546,8.475
28,42,9,OneShot,0.19047619047619047,0.9761904761904762,7.425000000000001
23,44,11,In Stars And Time,0.20454545454545456,0.8636363636363636,10.541666666666668
11,46,9,Long Gone Days,0.21739130434782608,0.9347826086956522,7.166666666666667
25,44,9,Impostor Factory,0.22727272727272727,0.8409090909090909,6.333333333333334
22,69,10,In Stars And Time,0.2318840579710145,1.0,10.733333333333333
29,74,9,Small Saga,0.25675675675675674,1.0,13.325
21,366,11,To the Moon,0.26229508196721313,0.9808743169398907,5.616666666666666
20,302,11,ELDEN RING,0.2682119205298013,0.9900662251655629,22.96666666666667
27,66,11,Small Saga,0.2878787878787879,1.0,11.95
18,117,10,To the Moon,0.3076923076923077,0.9914529914529915,5.516666666666667
15,46,11,ELDEN RING,0.34782608695652173,0.8695652173913043,19.950000000000003
30,129,8,Ikenfell,0.3798449612403101,0.9457364341085271,10.75
31,153,8,Long Gone Days,0.39215686274509803,0.673202614379085,11.966666666666667
3,60,8,OneShot,0.4,1.0,9.708333333333334
16,66,6,Small Saga,0.4090909090909091,0.9242424242424242,8.9
12,63,10,Baldur's Gate 3,0.4126984126984127,0.9365079365079365,11.866666666666667
19,50,8,Impostor Factory,0.42,0.9,4.908333333333333
8,239,5,Finding Paradise,0.5313807531380753,0.9372384937238494,5.233333333333333
7,107,3,Impostor Factory,0.5887850467289719,1.0,4.983333333333333
26,160,7,Ikenfell,0.63125,0.86875,20.78333333333333
9,114,3,Finding Paradise,0.6403508771929824,0.9473684210526315,5.25
10,87,5,ELDEN RING,0.7241379310344828,0.8850574712643678,111.4
6,69,4,Impostor Factory,0.9130434782608695,0.927536231884058,4.483333333333333
4,120,5,OneShot,0.95,0.975,7.775
24,74,4,Small Saga,0.9594594594594594,0.9864864864864865,8.916666666666666
14,63,2,Baldur's Gate 3,0.9841269841269841,1.0,143.46666666666667
13,160,3,In Stars And Time,0.9875,0.9625,31.45
5,88,1,Ikenfell,1.0,0.9431818181818182,23.566666666666666
1,79,1,Small Saga,1.0,0.9873417721518988,9.283333333333333
2,46,1,ELDEN RING,1.0,0.9347826086956522,152.44166666666666
