higher_order_need,title,group,reviews,recommend_rate,median_playtime_h
Content Longevity & Expansion,Baldur's Gate 3,benchmark,1,1.0,16.916666666666668
Content Longevity & Expansion,ELDEN RING,benchmark,7,1.0,164.45
Content Longevity & Expansion,Ikenfell,core,1,1.0,19.316666666666666
Content Longevity & Expansion,In Stars And Time,core,1,1.0,15.066666666666666
Content Longevity & Expansion,Into the Breach,contrast,3,1.0,22.166666666666668
Content Longevity & Expansion,Katana ZERO,contrast,60,1.0,8.208333333333332
Content Longevity & Expansion,Small Saga,core,1,1.0,7.316666666666666
Content Longevity & Expansion,Vampire Survivors,contrast,27,0.9629629629629629,31.633333333333333
Distinctive Presentation & Atmosphere,Balatro,contrast,1,1.0,92.81666666666666
Distinctive Presentation & Atmosphere,Finding Paradise,positioning,7,1.0,7.0
Distinctive Presentation & Atmosphere,Ikenfell,core,25,0.92,21.516666666666666
Distinctive Presentation & Atmosphere,Impostor Factory,positioning,6,1.0,4.5
Distinctive Presentation & Atmosphere,In Stars And Time,core,6,1.0,50.891666666666666
Distinctive Presentation & Atmosphere,Into the Breach,contrast,8,1.0,17.116666666666667
Distinctive Presentation & Atmosphere,Katana ZERO,contrast,29,1.0,6.416666666666667
Distinctive Presentation & Atmosphere,Long Gone Days,core,14,0.9285714285714286,10.358333333333334
Distinctive Presentation & Atmosphere,Meg's Monster,core,5,1.0,4.566666666666666
Distinctive Presentation & Atmosphere,OneShot,positioning,5,1.0,7.183333333333334
Distinctive Presentation & Atmosphere,Small Saga,core,16,1.0,11.716666666666667
Distinctive Presentation & Atmosphere,To the Moon,positioning,24,0.9583333333333334,4.191666666666666
Distinctive Presentation & Atmosphere,Vampire Survivors,contrast,4,1.0,25.991666666666667
Emotional Narrative & Payoff,Balatro,contrast,27,0.9259259259259259,17.733333333333334
Emotional Narrative & Payoff,Baldur's Gate 3,benchmark,57,0.9649122807017544,109.38333333333334
Emotional Narrative & Payoff,ELDEN RING,benchmark,29,0.9655172413793104,65.13333333333334
Emotional Narrative & Payoff,Finding Paradise,positioning,270,0.9814814814814815,5.516666666666667
Emotional Narrative & Payoff,Ikenfell,core,50,1.0,22.508333333333333
Emotional Narrative & Payoff,Impostor Factory,positioning,183,0.9617486338797814,4.233333333333333
Emotional Narrative & Payoff,In Stars And Time,core,89,0.9887640449438202,28.283333333333335
Emotional Narrative & Payoff,Into the Breach,contrast,17,0.8823529411764706,31.016666666666666
Emotional Narrative & Payoff,Katana ZERO,contrast,58,1.0,6.308333333333334
Emotional Narrative & Payoff,Long Gone Days,core,25,0.96,6.833333333333333
Emotional Narrative & Payoff,Meg's Monster,core,63,0.9841269841269841,5.066666666666666
Emotional Narrative & Payoff,OneShot,positioning,75,0.9733333333333334,7.466666666666667
Emotional Narrative & Payoff,Small Saga,core,40,0.95,8.166666666666668
Emotional Narrative & Payoff,To the Moon,positioning,237,0.9535864978902954,4.616666666666666
Emotional Narrative & Payoff,Vampire Survivors,contrast,26,0.8846153846153846,21.233333333333334
Gameplay Depth & Agency,Balatro,contrast,8,1.0,13.350000000000001
Gameplay Depth & Agency,Baldur's Gate 3,benchmark,3,0.3333333333333333,49.733333333333334
Gameplay Depth & Agency,ELDEN RING,benchmark,3,0.6666666666666666,90.43333333333334
Gameplay Depth & Agency,Finding Paradise,positioning,4,1.0,5.583333333333333
Gameplay Depth & Agency,Ikenfell,core,61,0.7049180327868853,22.666666666666668
Gameplay Depth & Agency,Impostor Factory,positioning,17,0.7058823529411765,3.683333333333333
Gameplay Depth & Agency,In Stars And Time,core,11,0.8181818181818182,24.083333333333332
Gameplay Depth & Agency,Into the Breach,contrast,19,0.9473684210526315,21.633333333333333
Gameplay Depth & Agency,Katana ZERO,contrast,9,0.8888888888888888,9.95
Gameplay Depth & Agency,Long Gone Days,core,64,0.65625,10.225
Gameplay Depth & Agency,Meg's Monster,core,7,0.8571428571428571,4.95
Gameplay Depth & Agency,OneShot,positioning,5,1.0,8.983333333333333
Gameplay Depth & Agency,Small Saga,core,13,0.6923076923076923,9.516666666666667
Gameplay Depth & Agency,To the Moon,positioning,8,0.75,4.791666666666667
Gameplay Depth & Agency,Vampire Survivors,contrast,28,0.8928571428571429,44.80833333333334
Narrative Pacing & Experience Density,Baldur's Gate 3,benchmark,8,0.75,109.76666666666668
Narrative Pacing & Experience Density,ELDEN RING,benchmark,1,1.0,28.366666666666667
Narrative Pacing & Experience Density,Finding Paradise,positioning,10,0.9,4.858333333333333
Narrative Pacing & Experience Density,Ikenfell,core,57,0.9298245614035088,19.65
Narrative Pacing & Experience Density,Impostor Factory,positioning,22,0.9090909090909091,4.208333333333334
Narrative Pacing & Experience Density,In Stars And Time,core,14,0.9285714285714286,26.958333333333332
Narrative Pacing & Experience Density,Into the Breach,contrast,1,1.0,154.11666666666667
Narrative Pacing & Experience Density,Katana ZERO,contrast,20,0.95,7.008333333333333
Narrative Pacing & Experience Density,Long Gone Days,core,49,1.0,6.583333333333333
Narrative Pacing & Experience Density,Meg's Monster,core,22,0.9545454545454546,5.233333333333333
Narrative Pacing & Experience Density,OneShot,positioning,10,1.0,8.45
Narrative Pacing & Experience Density,Small Saga,core,62,0.967741935483871,8.025
Narrative Pacing & Experience Density,To the Moon,positioning,6,0.8333333333333334,4.6
Narrative Pacing & Experience Density,Vampire Survivors,contrast,1,1.0,63.516666666666666
Replayability & Returnability,Balatro,contrast,49,1.0,21.9
Replayability & Returnability,Baldur's Gate 3,benchmark,3,1.0,236.73333333333332
Replayability & Returnability,ELDEN RING,benchmark,2,1.0,51.40833333333333
Replayability & Returnability,Into the Breach,contrast,9,1.0,16.116666666666667
Replayability & Returnability,Katana ZERO,contrast,3,1.0,26.666666666666668
Replayability & Returnability,Vampire Survivors,contrast,58,0.9655172413793104,27.46666666666667
Technical Accessibility,Balatro,contrast,8,1.0,8.466666666666667
Technical Accessibility,Baldur's Gate 3,benchmark,5,1.0,17.983333333333334
Technical Accessibility,ELDEN RING,benchmark,7,0.5714285714285714,51.2
Technical Accessibility,Finding Paradise,positioning,2,1.0,3.808333333333333
Technical Accessibility,Ikenfell,core,1,1.0,11.75
Technical Accessibility,Impostor Factory,positioning,1,1.0,0.18333333333333332
Technical Accessibility,Into the Breach,contrast,2,0.5,28.208333333333332
Technical Accessibility,Katana ZERO,contrast,3,0.6666666666666666,0.8166666666666667
Technical Accessibility,Meg's Monster,core,1,1.0,5.266666666666667
Technical Accessibility,OneShot,positioning,17,0.8235294117647058,5.55
Technical Accessibility,To the Moon,positioning,1,1.0,4.583333333333333
Technical Accessibility,Vampire Survivors,contrast,3,0.6666666666666666,133.01666666666668
