higher_order_need,title,group,need_reviews,reference_reviews,need_recommend_rate,reference_recommend_rate,delta_pp,need_median_playtime_h,reference_median_playtime_h
Content Longevity & Expansion,ELDEN RING,benchmark,7,400,1.0,0.91,8.999999999999996,164.45,100.81666666666666
Content Longevity & Expansion,Into the Breach,contrast,3,560,1.0,0.9053571428571429,9.464285714285714,22.166666666666668,22.53333333333333
Content Longevity & Expansion,Katana ZERO,contrast,60,466,1.0,0.9570815450643777,4.29184549356223,8.208333333333332,6.324999999999999
Content Longevity & Expansion,Vampire Survivors,contrast,27,442,0.9629629629629629,0.916289592760181,4.667337020278195,31.633333333333333,29.041666666666664
Distinctive Presentation & Atmosphere,Finding Paradise,positioning,7,579,1.0,0.9723661485319517,2.763385146804831,7.0,5.616666666666666
Distinctive Presentation & Atmosphere,Ikenfell,core,25,662,0.92,0.8972809667673716,2.271903323262847,21.516666666666666,21.616666666666667
Distinctive Presentation & Atmosphere,Impostor Factory,positioning,6,612,1.0,0.9183006535947712,8.16993464052288,4.5,4.1
Distinctive Presentation & Atmosphere,In Stars And Time,core,6,628,1.0,0.9522292993630573,4.777070063694266,50.891666666666666,29.608333333333334
Distinctive Presentation & Atmosphere,Into the Breach,contrast,8,555,1.0,0.9045045045045045,9.549549549549551,17.116666666666667,22.583333333333332
Distinctive Presentation & Atmosphere,Katana ZERO,contrast,29,497,1.0,0.959758551307847,4.024144869215296,6.416666666666667,6.566666666666666
Distinctive Presentation & Atmosphere,Long Gone Days,core,14,308,0.9285714285714286,0.8636363636363636,6.493506493506496,10.358333333333334,6.833333333333333
Distinctive Presentation & Atmosphere,Meg's Monster,core,5,270,1.0,0.9481481481481482,5.185185185185182,4.566666666666666,5.125
Distinctive Presentation & Atmosphere,OneShot,positioning,5,537,1.0,0.9683426443202979,3.165735567970207,7.183333333333334,7.6
Distinctive Presentation & Atmosphere,Small Saga,core,16,656,1.0,0.9496951219512195,5.030487804878048,11.716666666666667,8.833333333333334
Distinctive Presentation & Atmosphere,To the Moon,positioning,24,544,0.9583333333333334,0.9044117647058824,5.392156862745101,4.191666666666666,4.6
Distinctive Presentation & Atmosphere,Vampire Survivors,contrast,4,465,1.0,0.9182795698924732,8.172043010752683,25.991666666666667,29.116666666666667
Emotional Narrative & Payoff,Balatro,contrast,27,417,0.9259259259259259,0.9616306954436451,-3.570476951771917,17.733333333333334,29.766666666666666
Emotional Narrative & Payoff,Baldur's Gate 3,benchmark,57,458,0.9649122807017544,0.9279475982532751,3.696468244847928,109.38333333333334,137.06666666666666
Emotional Narrative & Payoff,ELDEN RING,benchmark,29,378,0.9655172413793104,0.9074074074074074,5.810983397190295,65.13333333333334,103.75833333333334
Emotional Narrative & Payoff,Finding Paradise,positioning,270,316,0.9814814814814815,0.9651898734177216,1.6291608063759955,5.516666666666667,5.683333333333334
Emotional Narrative & Payoff,Ikenfell,core,50,637,1.0,0.8901098901098901,10.989010989010994,22.508333333333333,21.55
Emotional Narrative & Payoff,Impostor Factory,positioning,183,435,0.9617486338797814,0.9011494252873563,6.0599208592425065,4.233333333333333,4.066666666666666
Emotional Narrative & Payoff,In Stars And Time,core,89,545,0.9887640449438202,0.9467889908256881,4.197505411813207,28.283333333333335,29.95
Emotional Narrative & Payoff,Into the Breach,contrast,17,546,0.8823529411764706,0.9065934065934066,-2.424046541693603,31.016666666666666,22.40833333333333
Emotional Narrative & Payoff,Katana ZERO,contrast,58,468,1.0,0.9572649572649573,4.273504273504269,6.308333333333334,6.566666666666666
Emotional Narrative & Payoff,Long Gone Days,core,25,297,0.96,0.8585858585858586,10.14141414141414,6.833333333333333,7.033333333333333
Emotional Narrative & Payoff,Meg's Monster,core,63,212,0.9841269841269841,0.9386792452830188,4.544773884396525,5.066666666666666,5.216666666666667
Emotional Narrative & Payoff,OneShot,positioning,75,467,0.9733333333333334,0.9678800856531049,0.5453247680228479,7.466666666666667,7.633333333333334
Emotional Narrative & Payoff,Small Saga,core,40,632,0.95,0.9509493670886076,-0.09493670886076,8.166666666666668,8.916666666666666
Emotional Narrative & Payoff,To the Moon,positioning,237,331,0.9535864978902954,0.8731117824773413,8.047471541295403,4.616666666666666,4.583333333333333
Emotional Narrative & Payoff,Vampire Survivors,contrast,26,443,0.8846153846153846,0.9209932279909706,-3.6377843375586028,21.233333333333334,29.283333333333335
Gameplay Depth & Agency,Balatro,contrast,8,436,1.0,0.9587155963302753,4.128440366972475,13.350000000000001,29.9
Gameplay Depth & Agency,Baldur's Gate 3,benchmark,3,512,0.3333333333333333,0.935546875,-60.22135416666667,49.733333333333334,136.225
Gameplay Depth & Agency,ELDEN RING,benchmark,3,404,0.6666666666666666,0.9133663366336634,-24.669966996699678,90.43333333333334,101.31666666666666
Gameplay Depth & Agency,Finding Paradise,positioning,4,582,1.0,0.9725085910652921,2.7491408934707917,5.583333333333333,5.633333333333334
Gameplay Depth & Agency,Ikenfell,core,61,626,0.7049180327868853,0.9169329073482428,-21.20148745613576,22.666666666666668,21.55
Gameplay Depth & Agency,Impostor Factory,positioning,17,601,0.7058823529411765,0.9251247920133111,-21.92424390721346,3.683333333333333,4.133333333333334
Gameplay Depth & Agency,In Stars And Time,core,11,623,0.8181818181818182,0.9550561797752809,-13.687436159346266,24.083333333333332,30.016666666666666
Gameplay Depth & Agency,Into the Breach,contrast,19,544,0.9473684210526315,0.9044117647058824,4.295665634674917,21.633333333333333,22.575
Gameplay Depth & Agency,Katana ZERO,contrast,9,517,0.8888888888888888,0.9632495164410058,-7.436062755211692,9.95,6.533333333333333
Gameplay Depth & Agency,Long Gone Days,core,64,258,0.65625,0.9186046511627907,-26.235465116279066,10.225,6.516666666666667
Gameplay Depth & Agency,Meg's Monster,core,7,268,0.8571428571428571,0.9514925373134329,-9.434968017057576,4.95,5.125
Gameplay Depth & Agency,OneShot,positioning,5,537,1.0,0.9683426443202979,3.165735567970207,8.983333333333333,7.583333333333333
Gameplay Depth & Agency,Small Saga,core,13,659,0.6923076923076923,0.9559939301972686,-26.368623788957635,9.516666666666667,8.9
Gameplay Depth & Agency,To the Moon,positioning,8,560,0.75,0.9089285714285714,-15.892857142857142,4.791666666666667,4.6
Gameplay Depth & Agency,Vampire Survivors,contrast,28,441,0.8928571428571429,0.9206349206349206,-2.777777777777768,44.80833333333334,28.366666666666667
Narrative Pacing & Experience Density,Baldur's Gate 3,benchmark,8,507,0.75,0.9349112426035503,-18.49112426035503,109.76666666666668,136.46666666666667
Narrative Pacing & Experience Density,Finding Paradise,positioning,10,576,0.9,0.9739583333333334,-7.395833333333335,4.858333333333333,5.65
Narrative Pacing & Experience Density,Ikenfell,core,57,630,0.9298245614035088,0.8952380952380953,3.45864661654135,19.65,21.825
Narrative Pacing & Experience Density,Impostor Factory,positioning,22,596,0.9090909090909091,0.9194630872483222,-1.0372178157413092,4.208333333333334,4.1
Narrative Pacing & Experience Density,In Stars And Time,core,14,620,0.9285714285714286,0.9532258064516129,-2.465437788018432,26.958333333333332,29.941666666666666
Narrative Pacing & Experience Density,Katana ZERO,contrast,20,506,0.95,0.9624505928853755,-1.2450592885375533,7.008333333333333,6.483333333333333
Narrative Pacing & Experience Density,Long Gone Days,core,49,273,1.0,0.8424908424908425,15.75091575091575,6.583333333333333,7.183333333333334
Narrative Pacing & Experience Density,Meg's Monster,core,22,253,0.9545454545454546,0.9486166007905138,0.5928853754940788,5.233333333333333,5.116666666666666
Narrative Pacing & Experience Density,OneShot,positioning,10,532,1.0,0.9680451127819549,3.195488721804507,8.45,7.591666666666667
Narrative Pacing & Experience Density,Small Saga,core,62,610,0.967741935483871,0.9491803278688524,1.8561607615018572,8.025,8.966666666666667
Narrative Pacing & Experience Density,To the Moon,positioning,6,562,0.8333333333333334,0.9074733096085409,-7.413997627520752,4.6,4.6
Replayability & Returnability,Balatro,contrast,49,395,1.0,0.9544303797468354,4.556962025316458,21.9,29.95
Replayability & Returnability,Baldur's Gate 3,benchmark,3,512,1.0,0.931640625,6.8359375,236.73333333333332,135.30833333333334
Replayability & Returnability,Into the Breach,contrast,9,554,1.0,0.9043321299638989,9.566787003610111,16.116666666666667,22.575
Replayability & Returnability,Katana ZERO,contrast,3,523,1.0,0.9617590822179732,3.824091778202676,26.666666666666668,6.5
Replayability & Returnability,Vampire Survivors,contrast,58,411,0.9655172413793104,0.9124087591240876,5.31084822552228,27.46666666666667,29.283333333333335
Technical Accessibility,Balatro,contrast,8,436,1.0,0.9587155963302753,4.128440366972475,8.466666666666667,29.799999999999997
Technical Accessibility,Baldur's Gate 3,benchmark,5,510,1.0,0.9313725490196079,6.8627450980392135,17.983333333333334,136.75
Technical Accessibility,ELDEN RING,benchmark,7,400,0.5714285714285714,0.9175,-34.60714285714286,51.2,101.63333333333333
Technical Accessibility,Katana ZERO,contrast,3,523,0.6666666666666666,0.9636711281070746,-29.700446144040793,0.8166666666666667,6.566666666666666
Technical Accessibility,OneShot,positioning,17,525,0.8235294117647058,0.9733333333333334,-14.980392156862754,5.55,7.65
Technical Accessibility,Vampire Survivors,contrast,3,466,0.6666666666666666,0.9206008583690987,-25.393419170243202,133.01666666666668,28.85
